	0	6	15	16
14	1	4	8	6
9	4	2	7	2
4	3	1	2	3
10	8	3	1	7

	14	0	9	9
6	6	5	4	2
0	8	3	4	7
13	7	9	1	6
13	7	8	5	1

	8	7	9	1
8	5	8	2	1
6	9	6	6	4
5	4	5	1	2
6	3	2	1	9

	12	11	8	14
0	4	9	8	6
13	7	7	9	6
15	5	4	9	6
17	4	7	8	2

	6	4	17	14
13	5	1	8	1
13	1	4	8	2
9	1	5	6	9
6	3	8	1	5

	14	16	18	8
23	7	7	9	7
8	5	8	2	1
8	9	8	6	8
17	7	4	9	1

	4	16	18	15
14	4	3	4	7
16	5	6	9	1
17	4	1	5	7
6	6	6	4	4

	5	13	10	10
20	4	2	9	9
10	5	4	1	4
7	5	7	4	2
1	5	3	8	1

	9	14	11	8
7	9	7	6	2
9	1	7	2	2
11	9	1	2	4
15	9	2	7	8

	7	6	16	10
10	5	4	6	8
6	1	1	2	4
12	1	2	3	6
11	6	5	5	2

	9	16	15	8
27	9	4	6	8
12	4	7	5	8
3	5	3	5	6
6	7	2	4	1

	14	10	0	11
12	9	5	9	3
5	5	5	9	7
6	5	8	7	1
12	1	5	9	7

	8	0	13	18
7	6	3	4	7
13	9	8	8	5
6	1	2	5	8
13	7	8	6	6

	15	14	14	9
22	8	6	7	9
15	7	8	5	6
3	3	3	4	4
12	5	1	7	5

	1	19	14	6
13	4	9	9	4
16	1	5	8	2
5	1	4	5	9
6	1	5	1	4

	10	0	5	20
7	4	1	3	3
13	1	3	5	8
6	6	5	4	3
9	7	5	5	9

	10	0	2	3
4	4	4	5	9
3	3	8	1	9
8	3	7	2	3
0	2	9	2	7

	7	11	16	11
5	6	5	3	7
7	2	2	3	5
17	3	2	9	6
16	5	4	7	9

	19	16	21	12
20	8	8	6	4
16	1	8	6	1
19	7	6	9	3
13	3	9	6	4

	14	20	9	4
10	3	6	2	2
11	6	6	5	1
10	8	3	2	6
16	6	8	3	2

	10	7	11	4
12	4	2	8	6
4	8	1	3	8
0	3	5	8	9
16	6	6	4	4

	21	26	3	6
18	9	9	7	5
12	3	8	8	1
10	5	2	3	5
16	9	7	4	7

	20	13	17	9
28	9	7	6	6
8	6	2	4	1
4	5	3	4	2
19	5	4	7	3

	13	16	10	7
10	1	9	5	9
10	7	7	4	6
15	5	4	6	7
11	7	3	8	1

	3	0	0	3
3	3	1	5	3
3	2	6	4	3
0	6	6	7	7
0	8	9	4	3

	0	6	14	8
0	9	5	4	8
22	6	6	8	8
0	1	8	9	2
6	6	7	6	7

	1	8	12	13
13	7	1	7	6
8	8	4	5	3
8	3	8	1	8
5	1	4	1	4

	19	3	7	12
17	8	1	8	9
5	2	3	8	5
1	2	8	1	5
18	9	8	6	3

	13	9	7	12
18	4	9	4	5
11	3	8	5	3
0	4	6	3	5
12	6	8	2	4

	1	6	12	5
4	4	9	2	4
12	1	6	5	1
8	1	2	7	6
0	1	2	6	3

	7	2	4	0
4	7	1	4	7
0	6	6	6	1
7	7	7	9	4
2	4	2	8	9

	19	6	5	2
8	2	1	5	6
9	9	2	1	6
10	8	1	7	1
5	1	4	6	1

	2	4	13	0
0	6	9	3	2
5	7	8	5	8
10	2	4	8	8
4	8	4	9	6

	0	15	0	6
8	4	8	8	2
1	6	7	6	1
0	9	5	3	7
12	7	7	6	5

	1	12	11	4
5	1	4	2	3
3	7	1	3	6
0	5	6	3	2
20	3	8	8	4

	16	11	18	8
17	8	8	9	8
10	7	1	2	3
14	4	9	3	5
12	1	2	9	1

	26	0	9	8
16	8	4	8	8
8	8	5	5	6
11	6	4	5	3
8	4	6	4	7

	12	10	25	5
25	7	9	9	1
16	5	6	6	5
2	6	7	2	9
9	3	1	8	6

	6	16	12	20
24	6	1	8	9
16	1	8	4	4
7	5	9	2	7
7	4	7	7	7

	5	15	9	8
8	4	1	5	8
8	1	8	3	2
14	5	3	9	1
7	9	7	4	7

	14	13	15	29
19	9	3	7	9
13	3	6	9	7
19	9	4	7	6
20	5	5	8	7

	15	10	9	8
12	9	3	9	8
11	2	4	7	9
19	6	3	2	8
0	8	1	7	2

	5	17	0	28
3	2	7	3	3
17	9	9	4	8
16	6	8	2	8
14	5	2	5	9

	6	3	16	14
10	1	1	4	5
13	7	1	7	5
11	6	6	5	7
5	5	1	8	4

	13	4	15	6
9	1	6	9	5
11	5	3	1	6
3	1	4	3	7
15	8	4	3	4

	6	4	13	1
8	3	9	5	4
1	3	9	1	3
11	3	8	7	1
4	2	4	4	9

	8	16	16	4
12	7	4	5	7
9	4	9	6	1
9	9	6	3	8
14	1	1	8	4

	10	0	3	14
6	5	9	1	2
1	1	8	1	6
10	1	2	1	8
10	4	5	8	6

	18	9	18	14
8	9	6	7	1
20	6	1	7	6
13	3	6	5	4
18	9	2	4	3

	3	11	4	13
4	3	4	6	8
10	2	3	4	3
15	3	4	4	8
2	8	8	5	2

	5	9	6	8
18	5	6	6	7
5	7	7	4	1
5	2	3	2	9
0	3	7	1	2

	3	3	6	0
0	1	3	8	3
1	1	7	7	3
1	2	2	1	4
10	2	3	5	4

	3	0	15	19
8	2	4	6	6
15	6	9	7	8
14	1	5	8	5
0	1	7	1	4

	0	8	14	15
16	4	8	8	8
4	8	8	3	1
15	6	2	9	6
2	3	3	2	9

	14	5	3	1
0	9	2	8	3
8	8	1	5	4
11	5	5	2	1
4	1	5	3	9

	3	7	18	11
8	9	7	8	1
11	4	3	1	7
12	3	1	4	4
8	1	3	5	6

	12	12	0	9
10	5	1	3	4
9	4	8	8	1
7	7	5	7	9
7	5	3	8	4

